cat,cat_lab,count,percentage,measure,n_responses,school_lab,school_group,school_group_lab,plot_group,measure_lab
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[25, 39, 34, 8]","[23.58490566037736, 36.79245283018868, 32.075471698113205, 7.547169811320755]",birth_you,106.0,School G,1,Your school,birth,Were you born outside the UK?
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, nan]","['Under 1 year old', '1 year old', '2 years old', '3 years old', '4 years old', '5 years old', '6 years old', '7 years old', '8 years old', '9 years old', '10 years old', '11 years old', '12 years old', '13 years old', '14 years old', '15 years old', 'No response']","[5, 7, 5, 6, 6, 11, 5, 10, 6, 6, 5, 3, 7, 7, 9, 7, 1]","[4.716981132075472, 6.60377358490566, 4.716981132075472, 5.660377358490567, 5.660377358490567, 10.377358490566039, 4.716981132075472, 9.433962264150944, 5.660377358490567, 5.660377358490567, 4.716981132075472, 2.8301886792452833, 6.60377358490566, 6.60377358490566, 8.49056603773585, 6.60377358490566, 0.9433962264150944]",birth_you_age,106.0,School G,1,Your school,birth,How old were you when you arrived in the UK?
"[0, 1, nan]","['No', 'Yes', 'No response']","[53, 50, 3]","[50.0, 47.16981132075472, 2.8301886792452833]",young_carer,106.0,School G,1,Your school,young_carer,"In the last year, have you regularly taken on caring responsibilities for a family member - e.g. due to illness, disability, mental health condition or drug/alcohol dependency?"
"[1, 0, 2, nan]","['Yes', 'No', 'Unsure', 'No response']","[43, 22, 31, 10]","[40.56603773584906, 20.754716981132077, 29.245283018867923, 9.433962264150944]",care_experience,106.0,School G,1,Your school,care_experience,"Are you or have you ever been in care (living in a foster placement, residential placement, or private/kinship care)?"
"[8, 10, nan]","['Year 8', 'Year 10', 'No data']","[51, 48, 7]","[48.113207547169814, 45.28301886792453, 6.60377358490566]",year_group,106.0,School G,1,Your school,most_of_council,Year group
"[0, 1, nan]","['Non-FSM', 'FSM', 'No data']","[35, 55, 16]","[33.0188679245283, 51.886792452830186, 15.09433962264151]",fsm,106.0,School G,1,Your school,most_of_council,Free school meals
"[0, 1, nan]","['Non-SEN', 'SEN', 'No data']","[52, 48, 6]","[49.056603773584904, 45.28301886792453, 5.660377358490567]",sen,106.0,School G,1,Your school,neuro,Special educational needs
"[1, 2, nan]","['Ethnic minority', 'White British', 'No data']","[42, 55, 9]","[39.62264150943396, 51.886792452830186, 8.49056603773585]",ethnicity,106.0,School G,1,Your school,most_of_council,Ethnicity
"[0, 1, nan]","['No', 'Yes', 'No data']","[49, 45, 12]","[46.22641509433962, 42.45283018867924, 11.320754716981133]",english_additional,106.0,School G,1,Your school,most_of_council,English as an additional language
"[1, 2, 3, 4, 5, 6, nan]","['Girl', 'Boy', 'Non-binary', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'No response']","[95, 122, 88, 102, 103, 113, 71]","[13.688760806916425, 17.579250720461097, 12.680115273775217, 14.697406340057636, 14.84149855907781, 16.282420749279538, 10.230547550432277]",gender,694.0,School G,0,Other schools,gender,Gender
"[1, 2, 3, 4, 5, nan]","['Yes', 'No', 'Prefer not to say', 'I describe myself in another way', 'Not sure', 'No response']","[135, 126, 136, 148, 140, 9]","[19.45244956772334, 18.155619596541786, 19.596541786743515, 21.32564841498559, 20.172910662824208, 1.2968299711815563]",transgender,694.0,School G,0,Other schools,gender,Do you consider yourself to be transgender?
"[1, 2, 3, 4, 5, 6, nan]","['Bi/pansexual', 'Gay/lesbian', 'Heterosexual/straight', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'No response']","[110, 122, 115, 119, 114, 111, 3]","[15.85014409221902, 17.579250720461097, 16.570605187319885, 17.146974063400577, 16.42651296829971, 15.994236311239193, 0.43227665706051877]",sexual_orientation,694.0,School G,0,Other schools,sexual_orientation,Sexual orientation
"[1, 2, 3, nan]","['Yes', 'No', 'Unsure', 'No response']","[220, 175, 215, 84]","[31.70028818443804, 25.216138328530256, 30.979827089337174, 12.103746397694524]",neurodivergent,694.0,School G,0,Other schools,neuro,Do you identify as neurodivergent?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[225, 227, 211, 31]","[32.42074927953891, 32.70893371757925, 30.403458213256485, 4.46685878962536]",birth_parent1,694.0,School G,0,Other schools,birth,Was birth parent 1 born outside the UK?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[232, 220, 212, 30]","[33.429394812680115, 31.70028818443804, 30.547550432276655, 4.322766570605188]",birth_parent2,694.0,School G,0,Other schools,birth,Was birth parent 2 born outside the UK?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[209, 238, 227, 20]","[30.11527377521614, 34.293948126801155, 32.70893371757925, 2.881844380403458]",birth_you,694.0,School G,0,Other schools,birth,Were you born outside the UK?
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, nan]","['Under 1 year old', '1 year old', '2 years old', '3 years old', '4 years old', '5 years old', '6 years old', '7 years old', '8 years old', '9 years old', '10 years old', '11 years old', '12 years old', '13 years old', '14 years old', '15 years old', 'No response']","[35, 59, 48, 36, 42, 51, 35, 50, 36, 39, 41, 43, 43, 42, 33, 45, 16]","[5.043227665706052, 8.501440922190202, 6.9164265129683, 5.187319884726225, 6.051873198847262, 7.348703170028818, 5.043227665706052, 7.204610951008646, 5.187319884726225, 5.619596541786744, 5.9077809798270895, 6.195965417867435, 6.195965417867435, 6.051873198847262, 4.755043227665706, 6.484149855907781, 2.3054755043227666]",birth_you_age,694.0,School G,0,Other schools,birth,How old were you when you arrived in the UK?
"[0, 1, nan]","['No', 'Yes', 'No response']","[322, 341, 31]","[46.39769452449568, 49.13544668587896, 4.46685878962536]",young_carer,694.0,School G,0,Other schools,young_carer,"In the last year, have you regularly taken on caring responsibilities for a family member - e.g. due to illness, disability, mental health condition or drug/alcohol dependency?"
"[1, 0, 2, nan]","['Yes', 'No', 'Unsure', 'No response']","[211, 192, 212, 79]","[30.403458213256485, 27.6657060518732, 30.547550432276655, 11.38328530259366]",care_experience,694.0,School G,0,Other schools,care_experience,"Are you or have you ever been in care (living in a foster placement, residential placement, or private/kinship care)?"
"[8, 10, nan]","['Year 8', 'Year 10', 'No data']","[364, 265, 65]","[52.44956772334294, 38.18443804034582, 9.36599423631124]",year_group,694.0,School G,0,Other schools,most_of_council,Year group
"[0, 1, nan]","['Non-FSM', 'FSM', 'No data']","[283, 336, 75]","[40.778097982708935, 48.414985590778095, 10.806916426512968]",fsm,694.0,School G,0,Other schools,most_of_council,Free school meals
"[0, 1, nan]","['Non-SEN', 'SEN', 'No data']","[388, 272, 34]","[55.907780979827095, 39.19308357348703, 4.899135446685879]",sen,694.0,School G,0,Other schools,neuro,Special educational needs
"[1, 2, nan]","['Ethnic minority', 'White British', 'No data']","[341, 335, 18]","[49.13544668587896, 48.27089337175792, 2.5936599423631126]",ethnicity,694.0,School G,0,Other schools,most_of_council,Ethnicity
"[0, 1, nan]","['No', 'Yes', 'No data']","[311, 312, 71]","[44.81268011527377, 44.95677233429395, 10.230547550432277]",english_additional,694.0,School G,0,Other schools,most_of_council,English as an additional language
