variable,mean,count,school_lab,year_group_lab,gender_lab,fsm_lab,sen_lab,total_pupils,group_n,group_wt_mean,group_wt_std,lower,upper,rag,variable_lab,description
wealth_score,0.41025641025641024,39.0,School D,All,All,All,SEN,235.0,6.0,0.35319148936170214,0.08292951005430232,0.2702619793073998,0.43612099941600446,average,Relative wealth,"
Whether young people feel their family is richer, poorer or the same as their
friends"
future_score,7.95,20.0,School D,All,All,All,SEN,120.0,6.0,7.416666666666667,0.36110779741612303,7.055558869250544,7.77777446408279,above,Future opportunities,"
How young people feel regarding the future options for work, education or
training in their local area"
climate_score,2.46,50.0,School D,All,All,All,SEN,301.0,6.0,2.4485049833887045,0.10512305848053925,2.343381924908165,2.553628041869244,average,Climate change,"
Worries regarding climate change"
social_score,11.736842105263158,38.0,School D,All,All,All,SEN,203.0,6.0,12.0,0.287492119353019,11.712507880646982,12.287492119353018,average,Support from friends,"
The support young people receive from their peers"
bully_score,7.803921568627451,51.0,School D,All,All,All,SEN,299.0,6.0,7.498327759197324,0.25306350184336324,7.245264257353961,7.751391261040688,above,Bullying,"
The frequency with which young people experience different types of bullying"
autonomy_score,18.14814814814815,27.0,School D,All,All,All,Non-SEN,275.0,7.0,17.723636363636363,0.5329418995894408,17.19069446404692,18.256578263225805,average,Autonomy,"
How 'in control' young people feel of their life"
life_satisfaction_score,4.25,48.0,School D,All,All,All,Non-SEN,401.0,7.0,5.042394014962594,0.5590690217896732,4.48332499317292,5.601463036752267,below,Life satisfaction,"
How satisfied young people feel with their life"
optimism_score,11.583333333333334,48.0,School D,All,All,All,Non-SEN,401.0,7.0,11.960099750623442,0.24412271239380437,11.715977038229637,12.204222463017247,below,Optimism,"
Young people's hopefulness and confidence for the future"
wellbeing_score,20.71875,32.0,School D,All,All,All,Non-SEN,307.0,7.0,20.850162866449512,0.7873780089335274,20.062784857515986,21.63754087538304,average,Psychological wellbeing,"
How positive and generally happy young people feel regarding their life"
esteem_score,12.88888888888889,27.0,School D,All,All,All,Non-SEN,269.0,7.0,12.83271375464684,0.3633672126553718,12.469346541991467,13.196080967302212,average,Self-esteem,"
How much young people value themselves"
stress_score,7.875,40.0,School D,All,All,All,Non-SEN,350.0,7.0,8.071428571428571,0.17425909952204457,7.897169471906526,8.245687670950616,below,Stress and coping,"
Managing stress levels and coping with difficulties"
appearance_score,3.9148936170212765,47.0,School D,All,All,All,Non-SEN,411.0,7.0,4.961070559610706,0.7013394705281522,4.259731089082553,5.662410030138858,below,Feelings around appearance,"
Young people's feelings around the way that they look"
negative_score,10.548387096774194,31.0,School D,All,All,All,Non-SEN,264.0,7.0,9.746212121212121,0.3440134137264913,9.40219870748563,10.090225534938613,above,Negative affect,"
The frequency with which young people experience emotional difficulties"
lonely_score,3.08,50.0,School D,All,All,All,Non-SEN,438.0,7.0,3.089041095890411,0.16751424959466296,2.921526846295748,3.256555345485074,average,Loneliness,"
How often young people feel lonely"
support_score,4.375,48.0,School D,All,All,All,Non-SEN,415.0,7.0,4.785542168674699,0.20759494222580455,4.577947226448894,4.993137110900503,below,Supporting own wellbeing,"
Young people's knowledge on supporting themselves and looking for advice"
sleep_score,0.6274509803921569,51.0,School D,All,All,All,Non-SEN,425.0,7.0,0.48705882352941177,0.0804337775393282,0.40662504599008353,0.56749260106874,above,Sleep,"
How much sleep young people get"
physical_score,278.6666666666667,45.0,School D,All,All,All,Non-SEN,386.0,7.0,250.33678756476684,36.562152080812844,213.774635483954,286.8989396455797,average,Physical activity,"
How physically active young people are"
free_like_score,3.1176470588235294,51.0,School D,All,All,All,Non-SEN,426.0,7.0,3.1619718309859155,0.13754503510335545,3.02442679588256,3.299516866089271,average,Free time,"
How often young people can do things that they like in their free time"
media_score,3.9215686274509802,51.0,School D,All,All,All,Non-SEN,443.0,7.0,4.1512415349887135,0.19694159282537996,3.9542999421633334,4.348183127814093,below,Social media use,"
How much time young people spend on social media"
places_score,2.3333333333333335,51.0,School D,All,All,All,Non-SEN,440.0,7.0,2.477272727272727,0.14246399403314863,2.3348087332395786,2.6197367213058755,below,Places to go and things to do,"
Whether young people feel there are places to go and things to do in their
free time"
staff_talk_score,2.460526315789474,38.0,School D,All,All,All,Non-SEN,372.0,7.0,2.4274193548387095,0.15415469951229782,2.2732646553264115,2.5815740543510075,average,NULL,NULL
home_talk_score,2.6704545454545454,44.0,School D,All,All,All,Non-SEN,388.0,7.0,2.5811855670103094,0.11678324569131689,2.4644023213189925,2.6979688127016264,average,NULL,NULL
peer_talk_score,2.6702127659574466,47.0,School D,All,All,All,Non-SEN,394.0,7.0,2.5380710659898478,0.13803233309694296,2.400038732892905,2.6761033990867906,average,NULL,NULL
talk_score,8.017241379310345,29.0,School D,All,All,All,Non-SEN,283.0,7.0,7.522968197879859,0.2648445953173818,7.258123602562477,7.787812793197241,above,Talking about feelings,"
How positively/negatively young people feel about talking with others about
feeling down"
accept_score,9.911111111111111,45.0,School D,All,All,All,Non-SEN,388.0,7.0,10.0,0.3694767152182766,9.630523284781724,10.369476715218276,average,Acceptance,"
Whether young people feel accepted by different groups of people in their
life"
school_belong_score,2.7777777777777777,45.0,School D,All,All,All,Non-SEN,397.0,7.0,2.9496221662468516,0.19764091237156,2.7519812538752917,3.1472630786184115,average,School connection,"
Feelings of belonging at school"
staff_relationship_score,12.425,40.0,School D,All,All,All,Non-SEN,370.0,7.0,12.083783783783783,0.250788082071004,11.832995701712779,12.334571865854787,above,Support from staff,"
The support received from adults at school"
home_relationship_score,11.891891891891891,37.0,School D,All,All,All,Non-SEN,332.0,7.0,12.090361445783133,0.2846595057441086,11.805701940039024,12.375020951527242,average,Support from parents/carers,"
The support received from adults at home"
home_happy_score,4.795918367346939,49.0,School D,All,All,All,Non-SEN,398.0,7.0,4.977386934673367,0.2464394997513391,4.730947434922028,5.223826434424707,average,Home environment,"
Young people's feelings regarding the home that they live in"
local_env_score,14.956989247311828,31.0,School D,All,All,All,Non-SEN,237.0,7.0,14.74120956399437,0.49828683363923015,14.24292273035514,15.239496397633602,average,Local environment,"
How young people feel regarding the area where they live"
discrim_score,1.0,51.0,School D,All,All,All,Non-SEN,446.0,7.0,1.015695067264574,0.016106794012242603,0.9995882732523313,1.0318018612768165,average,Discrimination,"
Whether young people feel discriminated against"
belong_local_score,2.488888888888889,45.0,School D,All,All,All,Non-SEN,408.0,7.0,2.355392156862745,0.17244337648796512,2.18294878037478,2.5278355333507103,average,Local connection,"
Young people's feelings of belonging in their local area"
wealth_score,0.5,36.0,School D,All,All,All,Non-SEN,292.0,7.0,0.3664383561643836,0.08329489180210105,0.28314346436228255,0.4497332479664846,above,Relative wealth,"
Whether young people feel their family is richer, poorer or the same as their
friends"
future_score,7.078947368421052,19.0,School D,All,All,All,Non-SEN,161.0,7.0,7.406832298136646,0.5040385301868492,6.902793767949796,7.910870828323495,average,Future opportunities,"
How young people feel regarding the future options for work, education or
training in their local area"
climate_score,2.5714285714285716,49.0,School D,All,All,All,Non-SEN,432.0,7.0,2.511574074074074,0.1197270647288488,2.3918470093452253,2.6313011388029226,average,Climate change,"
Worries regarding climate change"
social_score,12.487804878048781,41.0,School D,All,All,All,Non-SEN,290.0,7.0,11.83448275862069,0.3952678241458949,11.439214934474794,12.229750582766584,above,Support from friends,"
The support young people receive from their peers"
bully_score,7.3125,48.0,School D,All,All,All,Non-SEN,422.0,7.0,7.587677725118484,0.13400267854372397,7.45367504657476,7.721680403662208,below,Bullying,"
The frequency with which young people experience different types of bullying"
autonomy_score,17.652173913043477,69.0,School E,All,All,All,All,490.0,7.0,17.808163265306124,0.4398161783551778,17.368347086950948,18.2479794436613,average,Autonomy,"
How 'in control' young people feel of their life"
life_satisfaction_score,4.917525773195877,97.0,School E,All,All,All,All,725.0,7.0,5.060689655172414,0.33926550961024554,4.721424145562168,5.39995516478266,average,Life satisfaction,"
How satisfied young people feel with their life"
optimism_score,11.673469387755102,98.0,School E,All,All,All,All,731.0,7.0,12.0328317373461,0.26035913515735465,11.772472602188746,12.293190872503455,below,Optimism,"
Young people's hopefulness and confidence for the future"
wellbeing_score,20.338461538461537,65.0,School E,All,All,All,All,547.0,7.0,20.93418647166362,0.5070170873320001,20.42716938433162,21.441203558995618,below,Psychological wellbeing,"
How positive and generally happy young people feel regarding their life"
esteem_score,12.714285714285714,63.0,School E,All,All,All,All,481.0,7.0,12.773388773388774,0.4063822161291122,12.367006557259662,13.179770989517886,average,Self-esteem,"
How much young people value themselves"
stress_score,7.370786516853933,89.0,School E,All,All,All,All,628.0,7.0,7.848726114649682,0.30725585867714506,7.541470255972537,8.155981973326828,below,Stress and coping,"
Managing stress levels and coping with difficulties"
appearance_score,4.747368421052632,95.0,School E,All,All,All,All,740.0,7.0,4.987837837837838,0.416967817981045,4.570870019856793,5.404805655818883,average,Feelings around appearance,"
Young people's feelings around the way that they look"
negative_score,9.529411764705882,68.0,School E,All,All,All,All,449.0,7.0,9.79510022271715,0.25381959370288365,9.541280629014265,10.048919816420034,below,Negative affect,"
The frequency with which young people experience emotional difficulties"
lonely_score,2.9047619047619047,105.0,School E,All,All,All,All,789.0,7.0,3.0367553865652726,0.15712824108326662,2.879627145482006,3.193883627648539,average,Loneliness,"
How often young people feel lonely"
support_score,5.12,100.0,School E,All,All,All,All,740.0,7.0,4.855405405405405,0.1449114769658806,4.710493928439525,5.000316882371286,above,Supporting own wellbeing,"
Young people's knowledge on supporting themselves and looking for advice"
sleep_score,0.5816326530612245,98.0,School E,All,All,All,All,755.0,7.0,0.48741721854304637,0.04032193218865314,0.4470952863543932,0.5277391507316995,above,Sleep,"
How much sleep young people get"
physical_score,202.67441860465115,86.0,School E,All,All,All,All,684.0,7.0,248.1578947368421,34.73906947493535,213.41882526190676,282.89696421177746,below,Physical activity,"
How physically active young people are"
free_like_score,3.0,100.0,School E,All,All,All,All,767.0,7.0,3.002607561929596,0.10539272177968435,2.897214840149912,3.10800028370928,average,Free time,"
How often young people can do things that they like in their free time"
media_score,4.3428571428571425,105.0,School E,All,All,All,All,795.0,7.0,4.103144654088051,0.15235692299759027,3.9507877310904607,4.255501577085641,above,Social media use,"
How much time young people spend on social media"
places_score,2.5,104.0,School E,All,All,All,All,785.0,7.0,2.4942675159235668,0.07565985702086149,2.4186076589027055,2.569927372944428,average,Places to go and things to do,"
Whether young people feel there are places to go and things to do in their
free time"
staff_talk_score,2.4829545454545454,88.0,School E,All,All,All,All,663.0,7.0,2.4871794871794872,0.11745288291412538,2.3697266042653617,2.6046323700936127,average,NULL,NULL
home_talk_score,2.653409090909091,88.0,School E,All,All,All,All,690.0,7.0,2.5431159420289857,0.06868511916188096,2.4744308228671046,2.611801061190867,above,NULL,NULL
peer_talk_score,2.4122340425531914,94.0,School E,All,All,All,All,711.0,7.0,2.5464135021097047,0.11059218620280613,2.4358213159068987,2.657005688312511,below,NULL,NULL
talk_score,7.458333333333333,66.0,School E,All,All,All,All,507.0,7.0,7.556213017751479,0.17439720440893752,7.381815813342541,7.730610222160417,average,Talking about feelings,"
How positively/negatively young people feel about talking with others about
feeling down"
accept_score,9.771739130434783,92.0,School E,All,All,All,All,691.0,7.0,10.036179450072359,0.25240061438970507,9.783778835682654,10.288580064462064,below,Acceptance,"
Whether young people feel accepted by different groups of people in their
life"
school_belong_score,2.5833333333333335,96.0,School E,All,All,All,All,710.0,7.0,2.926760563380282,0.20728372192483527,2.7194768414554464,3.134044285305117,below,School connection,"
Feelings of belonging at school"
staff_relationship_score,11.96808510638298,94.0,School E,All,All,All,All,678.0,7.0,12.008849557522124,0.16051504318097295,11.84833451434115,12.169364600703098,average,Support from staff,"
The support received from adults at school"
home_relationship_score,12.244186046511627,86.0,School E,All,All,All,All,600.0,7.0,12.046666666666667,0.21150067826301447,11.835165988403652,12.258167344929682,average,Support from parents/carers,"
The support received from adults at home"
home_happy_score,5.136842105263158,95.0,School E,All,All,All,All,715.0,7.0,4.977622377622378,0.2113233148450148,4.766299062777363,5.188945692467393,average,Home environment,"
Young people's feelings regarding the home that they live in"
local_env_score,15.042424242424238,55.0,School E,All,All,All,All,411.0,7.0,14.845904298459041,0.2967944286424541,14.549109869816588,15.142698727101495,average,Local environment,"
How young people feel regarding the area where they live"
discrim_score,1.0188679245283019,106.0,School E,All,All,All,All,800.0,7.0,1.01625,0.010962703457973282,1.0052872965420268,1.0272127034579734,average,Discrimination,"
Whether young people feel discriminated against"
belong_local_score,2.6354166666666665,96.0,School E,All,All,All,All,741.0,7.0,2.358974358974359,0.12880316274259573,2.230171196231763,2.487777521716955,above,Local connection,"
Young people's feelings of belonging in their local area"
wealth_score,0.3561643835616438,73.0,School E,All,All,All,All,563.0,7.0,0.3605683836589698,0.05484287680450605,0.30572550685446376,0.4154112604634759,average,Relative wealth,"
Whether young people feel their family is richer, poorer or the same as their
friends"
future_score,6.955882352941177,34.0,School E,All,All,All,All,300.0,7.0,7.391666666666667,0.3181993233844969,7.07346734328217,7.7098659900511635,below,Future opportunities,"
How young people feel regarding the future options for work, education or
training in their local area"
climate_score,2.405940594059406,101.0,School E,All,All,All,All,772.0,7.0,2.488341968911917,0.08828667317205108,2.400055295739866,2.576628642083968,average,Climate change,"
Worries regarding climate change"
social_score,11.835616438356164,73.0,School E,All,All,All,All,514.0,7.0,11.879377431906615,0.18794091271534927,11.691436519191265,12.067318344621965,average,Support from friends,"
The support young people receive from their peers"
bully_score,7.38,100.0,School E,All,All,All,All,760.0,7.0,7.552631578947368,0.09617890117673449,7.456452677770634,7.648810480124102,below,Bullying,"
The frequency with which young people experience different types of bullying"
autonomy_score,17.225806451612904,31.0,School E,Year 8,All,All,All,258.0,7.0,17.7015503875969,0.6448373315428396,17.05671305605406,18.346387719139738,average,Autonomy,"
How 'in control' young people feel of their life"
life_satisfaction_score,4.930232558139535,43.0,School E,Year 8,All,All,All,375.0,7.0,4.986666666666666,0.4747899202520523,4.511876746414614,5.461456586918719,average,Life satisfaction,"
How satisfied young people feel with their life"
optimism_score,12.113636363636363,44.0,School E,Year 8,All,All,All,385.0,7.0,12.044155844155844,0.24035612920707247,11.803799714948772,12.284511973362916,average,Optimism,"
Young people's hopefulness and confidence for the future"
wellbeing_score,19.4375,32.0,School E,Year 8,All,All,All,295.0,7.0,20.91864406779661,0.6697884826230059,20.248855585173605,21.588432550419615,below,Psychological wellbeing,"
How positive and generally happy young people feel regarding their life"
esteem_score,12.5,26.0,School E,Year 8,All,All,All,253.0,7.0,12.889328063241107,0.26577423399598266,12.623553829245125,13.15510229723709,below,Self-esteem,"
How much young people value themselves"
stress_score,7.0,41.0,School E,Year 8,All,All,All,323.0,7.0,7.786377708978328,0.39820784727167047,7.388169861706658,8.18458555625,below,Stress and coping,"
Managing stress levels and coping with difficulties"
appearance_score,4.863636363636363,44.0,School E,Year 8,All,All,All,386.0,7.0,5.11139896373057,0.5430179787832097,4.5683809849473604,5.65441694251378,average,Feelings around appearance,"
Young people's feelings around the way that they look"
negative_score,9.666666666666666,33.0,School E,Year 8,All,All,All,244.0,7.0,9.89344262295082,0.5022375746416511,9.39120504830917,10.39568019759247,average,Negative affect,"
The frequency with which young people experience emotional difficulties"
lonely_score,2.8085106382978724,47.0,School E,Year 8,All,All,All,409.0,7.0,2.9706601466992666,0.25758837105717847,2.713071775642088,3.228248517756445,average,Loneliness,"
How often young people feel lonely"
support_score,5.282608695652174,46.0,School E,Year 8,All,All,All,383.0,7.0,4.859007832898173,0.17865111372388692,4.680356719174286,5.037658946622059,above,Supporting own wellbeing,"
Young people's knowledge on supporting themselves and looking for advice"
sleep_score,0.6363636363636364,44.0,School E,Year 8,All,All,All,390.0,7.0,0.48717948717948717,0.062251745674502,0.4249277415049852,0.5494312328539892,above,Sleep,"
How much sleep young people get"
physical_score,230.0,39.0,School E,Year 8,All,All,All,356.0,7.0,245.14044943820224,20.842676931140833,224.2977725070614,265.9831263693431,average,Physical activity,"
How physically active young people are"
free_like_score,3.3333333333333335,45.0,School E,Year 8,All,All,All,398.0,7.0,3.128140703517588,0.21383540985944516,2.914305293658143,3.341976113377033,average,Free time,"
How often young people can do things that they like in their free time"
media_score,4.531914893617022,47.0,School E,Year 8,All,All,All,413.0,7.0,4.038740920096853,0.26833370727547146,3.7704072128213815,4.307074627372324,above,Social media use,"
How much time young people spend on social media"
places_score,2.3541666666666665,48.0,School E,Year 8,All,All,All,406.0,7.0,2.4679802955665027,0.12738462358755473,2.340595671978948,2.5953649191540573,average,Places to go and things to do,"
Whether young people feel there are places to go and things to do in their
free time"
staff_talk_score,2.391025641025641,39.0,School E,Year 8,All,All,All,344.0,7.0,2.4825581395348837,0.20168943494349417,2.2808687045913896,2.684247574478378,average,NULL,NULL
home_talk_score,2.6511627906976742,43.0,School E,Year 8,All,All,All,363.0,7.0,2.5674931129476586,0.03716562156233127,2.5303274913853273,2.60465873450999,above,NULL,NULL
peer_talk_score,2.4261363636363638,44.0,School E,Year 8,All,All,All,361.0,7.0,2.646814404432133,0.1272349975396153,2.5195794068925177,2.7740494019717485,below,NULL,NULL
talk_score,7.4375,32.0,School E,Year 8,All,All,All,261.0,7.0,7.71455938697318,0.2519414600394252,7.4626179269337545,7.966500847012606,below,Talking about feelings,"
How positively/negatively young people feel about talking with others about
feeling down"
accept_score,9.465116279069768,43.0,School E,Year 8,All,All,All,354.0,7.0,10.008474576271187,0.37061497341653044,9.637859602854656,10.379089549687718,below,Acceptance,"
Whether young people feel accepted by different groups of people in their
life"
school_belong_score,2.4545454545454546,44.0,School E,Year 8,All,All,All,369.0,7.0,2.907859078590786,0.27707248820797853,2.6307865903828076,3.1849315667987645,below,School connection,"
Feelings of belonging at school"
staff_relationship_score,11.86046511627907,43.0,School E,Year 8,All,All,All,352.0,7.0,12.034090909090908,0.17923045321507225,11.854860455875835,12.213321362305981,average,Support from staff,"
The support received from adults at school"
home_relationship_score,12.552631578947368,38.0,School E,Year 8,All,All,All,310.0,7.0,12.03225806451613,0.3363675785896209,11.695890485926508,12.368625643105752,above,Support from parents/carers,"
The support received from adults at home"
home_happy_score,5.27906976744186,43.0,School E,Year 8,All,All,All,368.0,7.0,4.951086956521739,0.25677479531187714,4.694312161209862,5.207861751833616,above,Home environment,"
Young people's feelings regarding the home that they live in"
local_env_score,15.072463768115936,23.0,School E,Year 8,All,All,All,213.0,7.0,14.904538341158057,0.477334731396729,14.427203609761328,15.381873072554786,average,Local environment,"
How young people feel regarding the area where they live"
discrim_score,1.0,48.0,School E,Year 8,All,All,All,416.0,7.0,1.0096153846153846,0.010830670016508477,0.9987847145988761,1.020446054631893,average,Discrimination,"
Whether young people feel discriminated against"
belong_local_score,2.7906976744186047,43.0,School E,Year 8,All,All,All,380.0,7.0,2.373684210526316,0.17254068391754365,2.201143526608772,2.5462248944438595,above,Local connection,"
Young people's feelings of belonging in their local area"
wealth_score,0.41935483870967744,31.0,School E,Year 8,All,All,All,287.0,7.0,0.3797909407665505,0.07639881835504894,0.3033921224115016,0.4561897591215994,average,Relative wealth,"
Whether young people feel their family is richer, poorer or the same as their
friends"
future_score,6.852941176470588,17.0,School E,Year 8,All,All,All,144.0,7.0,7.315972222222222,0.3376740237037915,6.978298198518431,7.653646245926014,below,Future opportunities,"
How young people feel regarding the future options for work, education or
training in their local area"
climate_score,2.630434782608696,46.0,School E,Year 8,All,All,All,403.0,7.0,2.5459057071960296,0.15228524508313718,2.3936204621128923,2.698190952279167,average,Climate change,"
Worries regarding climate change"
social_score,12.612903225806452,31.0,School E,Year 8,All,All,All,262.0,7.0,12.080152671755725,0.38471471958745745,11.695437952168268,12.464867391343182,above,Support from friends,"
The support young people receive from their peers"
bully_score,7.704545454545454,44.0,School E,Year 8,All,All,All,391.0,7.0,7.608695652173913,0.18382756893169952,7.424868083242213,7.792523221105613,average,Bullying,"
The frequency with which young people experience different types of bullying"
autonomy_score,18.193548387096776,31.0,School E,Year 10,All,All,All,189.0,6.0,18.04232804232804,0.5289750457056807,17.51335299662236,18.571303088033723,average,Autonomy,"
How 'in control' young people feel of their life"
life_satisfaction_score,4.886363636363637,44.0,School E,Year 10,All,All,All,286.0,6.0,5.094405594405594,0.2964481974070278,4.797957396998567,5.390853791812622,average,Life satisfaction,"
How satisfied young people feel with their life"
optimism_score,11.045454545454545,44.0,School E,Year 10,All,All,All,283.0,6.0,12.060070671378092,0.5660298251440183,11.494040846234075,12.62610049652211,below,Optimism,"
Young people's hopefulness and confidence for the future"
wellbeing_score,21.607142857142858,28.0,School E,Year 10,All,All,All,204.0,6.0,21.191176470588236,1.0648969898699245,20.12627948071831,22.25607346045816,average,Psychological wellbeing,"
How positive and generally happy young people feel regarding their life"
esteem_score,12.935483870967742,31.0,School E,Year 10,All,All,All,188.0,6.0,12.670212765957446,0.5242803716024201,12.145932394355025,13.194493137559867,average,Self-esteem,"
How much young people value themselves"
stress_score,7.725,40.0,School E,Year 10,All,All,All,247.0,6.0,7.9271255060728745,0.3430786797515921,7.584046826321282,8.270204185824467,average,Stress and coping,"
Managing stress levels and coping with difficulties"
appearance_score,4.9,40.0,School E,Year 10,All,All,All,287.0,6.0,4.895470383275262,0.473249424630882,4.42222095864438,5.368719807906143,average,Feelings around appearance,"
Young people's feelings around the way that they look"
negative_score,9.321428571428571,28.0,School E,Year 10,All,All,All,163.0,6.0,9.822085889570552,0.4132009424050756,9.408884947165475,10.235286831975628,below,Negative affect,"
The frequency with which young people experience emotional difficulties"
lonely_score,3.0425531914893615,47.0,School E,Year 10,All,All,All,309.0,6.0,3.177993527508091,0.15034996623771166,3.0276435612703794,3.3283434937458023,average,Loneliness,"
How often young people feel lonely"
support_score,4.9772727272727275,44.0,School E,Year 10,All,All,All,289.0,6.0,4.875432525951557,0.17500534564716672,4.70042718030439,5.0504378715987235,average,Supporting own wellbeing,"
Young people's knowledge on supporting themselves and looking for advice"
sleep_score,0.5348837209302325,43.0,School E,Year 10,All,All,All,296.0,6.0,0.5033783783783784,0.041377776083109274,0.4620006022952691,0.5447561544614876,average,Sleep,"
How much sleep young people get"
physical_score,172.5,40.0,School E,Year 10,All,All,All,269.0,6.0,257.73234200743497,61.25433594129245,196.4780060661425,318.98667794872745,below,Physical activity,"
How physically active young people are"
free_like_score,2.8863636363636362,44.0,School E,Year 10,All,All,All,297.0,6.0,2.942760942760943,0.0529635170358008,2.889797425725142,2.995724459796744,below,Free time,"
How often young people can do things that they like in their free time"
media_score,4.212765957446808,47.0,School E,Year 10,All,All,All,311.0,6.0,4.176848874598071,0.22633435745539426,3.9505145171426768,4.403183232053466,average,Social media use,"
How much time young people spend on social media"
places_score,2.760869565217391,46.0,School E,Year 10,All,All,All,308.0,6.0,2.581168831168831,0.13347563225448233,2.4476931989143487,2.7146444634233133,above,Places to go and things to do,"
Whether young people feel there are places to go and things to do in their
free time"
staff_talk_score,2.4875,40.0,School E,Year 10,All,All,All,258.0,6.0,2.4825581395348837,0.20778052616242323,2.2747776133724606,2.6903386656973067,average,NULL,NULL
home_talk_score,2.4,35.0,School E,Year 10,All,All,All,262.0,6.0,2.519083969465649,0.12544914486055933,2.3936348246050896,2.644533114326208,average,NULL,NULL
peer_talk_score,2.4,40.0,School E,Year 10,All,All,All,283.0,6.0,2.4620141342756185,0.08619687629905426,2.375817257976564,2.548211010574673,average,NULL,NULL
talk_score,7.1826923076923075,26.0,School E,Year 10,All,All,All,196.0,6.0,7.42219387755102,0.26883814708996573,7.153355730461055,7.691032024640986,average,Talking about feelings,"
How positively/negatively young people feel about talking with others about
feeling down"
accept_score,10.05,40.0,School E,Year 10,All,All,All,273.0,6.0,9.981684981684982,0.2143008662249267,9.767384115460056,10.195985847909908,average,Acceptance,"
Whether young people feel accepted by different groups of people in their
life"
school_belong_score,2.727272727272727,44.0,School E,Year 10,All,All,All,280.0,6.0,2.95,0.21885473643559364,2.7311452635644065,3.168854736435594,below,School connection,"
Feelings of belonging at school"
staff_relationship_score,12.428571428571429,42.0,School E,Year 10,All,All,All,268.0,6.0,12.059701492537313,0.2933737901583908,11.766327702378922,12.353075282695704,above,Support from staff,"
The support received from adults at school"
home_relationship_score,12.131578947368421,38.0,School E,Year 10,All,All,All,237.0,6.0,12.109704641350211,0.5662269895813967,11.543477651768814,12.675931630931608,average,Support from parents/carers,"
The support received from adults at home"
home_happy_score,5.071428571428571,42.0,School E,Year 10,All,All,All,284.0,6.0,5.003521126760563,0.2288410777181975,4.774680049042366,5.23236220447876,average,Home environment,"
Young people's feelings regarding the home that they live in"
local_env_score,15.213333333333333,25.0,School E,Year 10,All,All,All,163.0,6.0,14.922290388548056,0.15091257320118237,14.771377815346874,15.073202961749239,above,Local environment,"
How young people feel regarding the area where they live"
discrim_score,1.0425531914893618,47.0,School E,Year 10,All,All,All,312.0,6.0,1.0256410256410255,0.023251858275938005,1.0023891673650875,1.0488928839169636,average,Discrimination,"
Whether young people feel discriminated against"
belong_local_score,2.511627906976744,43.0,School E,Year 10,All,All,All,293.0,6.0,2.378839590443686,0.0884282099766133,2.2904113804670727,2.4672678004202995,above,Local connection,"
Young people's feelings of belonging in their local area"
wealth_score,0.21875,32.0,School E,Year 10,All,All,All,225.0,6.0,0.3511111111111111,0.0751766692098394,0.2759344419012717,0.4262877803209505,below,Relative wealth,"
Whether young people feel their family is richer, poorer or the same as their
friends"
future_score,7.392857142857143,14.0,School E,Year 10,All,All,All,129.0,6.0,7.523255813953488,0.48007546922739736,7.043180344726091,8.003331283180886,average,Future opportunities,"
How young people feel regarding the future options for work, education or
training in their local area"
climate_score,2.1363636363636362,44.0,School E,Year 10,All,All,All,301.0,6.0,2.4285714285714284,0.147301716221866,2.2812697123495624,2.5758731447932943,below,Climate change,"
Worries regarding climate change"
social_score,11.205882352941176,34.0,School E,Year 10,All,All,All,207.0,6.0,11.705314009661835,0.40199439131526404,11.30331961834657,12.1073084009771,below,Support from friends,"
The support young people receive from their peers"
bully_score,7.088888888888889,45.0,School E,Year 10,All,All,All,298.0,6.0,7.459731543624161,0.24788580620742257,7.211845737416739,7.707617349831584,below,Bullying,"
The frequency with which young people experience different types of bullying"
autonomy_score,NULL,NULL,School E,All,Girl,All,All,12.0,1.0,19.75,0.0,19.75,19.75,nan,Autonomy,"
How 'in control' young people feel of their life"
life_satisfaction_score,6.230769230769231,13.0,School E,All,Girl,All,All,101.0,7.0,5.3861386138613865,0.49615948336790994,4.889979130493477,5.882298097229296,above,Life satisfaction,"
How satisfied young people feel with their life"
optimism_score,11.642857142857142,14.0,School E,All,Girl,All,All,105.0,7.0,11.81904761904762,0.40957917676661276,11.409468442281007,12.228626795814233,average,Optimism,"
Young people's hopefulness and confidence for the future"
wellbeing_score,20.0,10.0,School E,All,Girl,All,All,49.0,4.0,20.612244897959183,0.5520974221619941,20.060147475797187,21.16434232012118,below,Psychological wellbeing,"
How positive and generally happy young people feel regarding their life"
esteem_score,12.7,10.0,School E,All,Girl,All,All,51.0,4.0,12.215686274509803,0.24574145239849873,11.969944822111305,12.461427726908301,above,Self-esteem,"
How much young people value themselves"
stress_score,8.75,16.0,School E,All,Girl,All,All,70.0,5.0,7.557142857142857,0.7614226954806985,6.7957201616621585,8.318565552623555,above,Stress and coping,"
Managing stress levels and coping with difficulties"
appearance_score,3.8666666666666667,15.0,School E,All,Girl,All,All,101.0,7.0,4.9504950495049505,1.2398447447787535,3.710650304726197,6.1903397942837035,average,Feelings around appearance,"
Young people's feelings around the way that they look"
negative_score,10.1,10.0,School E,All,Girl,All,All,41.0,4.0,9.536585365853659,0.5299172454813756,9.006668120372284,10.066502611335034,above,Negative affect,"
The frequency with which young people experience emotional difficulties"
lonely_score,2.6875,16.0,School E,All,Girl,All,All,111.0,7.0,3.1981981981981984,0.3747706837293808,2.8234275144688175,3.5729688819275793,below,Loneliness,"
How often young people feel lonely"
